quarter,hb,percentage_occupancy
2017Q3,Ayrshire and Arran,92.50844399689512
2017Q3,Ayrshire and Arran,91.90576958984252
2017Q3,Ayrshire and Arran,92.14428943671788
2017Q4,Ayrshire and Arran,94.92310581557916
2017Q4,Ayrshire and Arran,92.37870580697768
2017Q4,Ayrshire and Arran,92.3990081620002
2018Q1,Ayrshire and Arran,95.27936947932396
2018Q1,Ayrshire and Arran,91.79102315203848
2018Q1,Ayrshire and Arran,92.29046146258258
2018Q2,Ayrshire and Arran,93.9559967341326
2018Q2,Ayrshire and Arran,88.56662329832132
2018Q2,Ayrshire and Arran,92.43197372626382
2018Q3,Ayrshire and Arran,93.78430360744946
2018Q3,Ayrshire and Arran,90.67514481656568
2018Q3,Ayrshire and Arran,92.8380451966893
2018Q4,Ayrshire and Arran,93.94648203592814
2018Q4,Ayrshire and Arran,91.09471343374103
2018Q4,Ayrshire and Arran,93.11047362566592
2019Q1,Ayrshire and Arran,95.62395309882746
2019Q1,Ayrshire and Arran,94.69788317256165
2019Q1,Ayrshire and Arran,95.65334362681452
2019Q2,Ayrshire and Arran,94.76122335136183
2019Q2,Ayrshire and Arran,93.99967495530636
2019Q2,Ayrshire and Arran,94.63837446123242
2019Q3,Ayrshire and Arran,93.44573792572638
2019Q3,Ayrshire and Arran,94.6678844760795
2019Q3,Ayrshire and Arran,93.99774430790198
2019Q4,Ayrshire and Arran,94.74302707628848
2019Q4,Ayrshire and Arran,94.57206430787552
2019Q4,Ayrshire and Arran,94.365610796933
2020Q1,Ayrshire and Arran,90.24458225907604
2020Q1,Ayrshire and Arran,89.78906695382275
2020Q1,Ayrshire and Arran,91.03718020562908
2020Q2,Ayrshire and Arran,71.37008112821292
2020Q2,Ayrshire and Arran,71.10615661425331
2020Q2,Ayrshire and Arran,73.5995457986374
2020Q3,Ayrshire and Arran,91.45107410207018
2020Q3,Ayrshire and Arran,88.26215417673919
2020Q3,Ayrshire and Arran,88.85537719125469
2020Q4,Ayrshire and Arran,89.0241698667269
2020Q4,Ayrshire and Arran,88.6146523882373
2020Q4,Ayrshire and Arran,87.81506406255319
2021Q1,Ayrshire and Arran,90.67649511958705
2021Q1,Ayrshire and Arran,86.45775237032906
2021Q1,Ayrshire and Arran,87.81744019910587
2021Q2,Ayrshire and Arran,91.86270125223614
2021Q2,Ayrshire and Arran,89.11306217523742
2021Q2,Ayrshire and Arran,89.72154349730303
2021Q3,Ayrshire and Arran,93.25340164622878
2021Q3,Ayrshire and Arran,91.0760595403034
2021Q3,Ayrshire and Arran,91.669256381798
2021Q4,Ayrshire and Arran,91.94809286572276
2021Q4,Ayrshire and Arran,91.079256836685
2021Q4,Ayrshire and Arran,91.2992
2022Q1,Ayrshire and Arran,92.5303619856149
2022Q1,Ayrshire and Arran,91.89058339385136
2022Q1,Ayrshire and Arran,91.88888888888889
2022Q2,Ayrshire and Arran,94.11565776124448
2022Q2,Ayrshire and Arran,93.03098095044405
2022Q2,Ayrshire and Arran,93.1625118873348
2022Q3,Ayrshire and Arran,93.7698802277636
2022Q3,Ayrshire and Arran,92.51338710770692
2022Q3,Ayrshire and Arran,92.73660037080737
2017Q3,Borders,86.69998078031905
2017Q3,Borders,86.69998078031905
2017Q4,Borders,91.19041916167664
2017Q4,Borders,91.19041916167664
2018Q1,Borders,96.46051931724772
2018Q1,Borders,96.46051931724772
2018Q2,Borders,92.47651907226376
2018Q2,Borders,92.47651907226376
2018Q3,Borders,88.82665517736608
2018Q3,Borders,88.82665517736608
2018Q4,Borders,89.8854187791523
2018Q4,Borders,89.8854187791523
2019Q1,Borders,86.96750376451159
2019Q1,Borders,86.96750376451159
2019Q2,Borders,85.29147534438012
2019Q2,Borders,85.29147534438012
2019Q3,Borders,83.67085362727505
2019Q3,Borders,83.67085362727505
2019Q4,Borders,88.0938752146537
2019Q4,Borders,88.0938752146537
2020Q1,Borders,78.90861211352774
2020Q1,Borders,79.00179637811333
2020Q2,Borders,61.784373533552326
2020Q2,Borders,61.784373533552326
2020Q3,Borders,78.55472404115996
2020Q3,Borders,78.55472404115996
2020Q4,Borders,85.75854819077128
2020Q4,Borders,85.75854819077128
2021Q1,Borders,85.2727909186378
2021Q1,Borders,85.2727909186378
2021Q2,Borders,90.17684724057322
2021Q2,Borders,90.17684724057322
2021Q3,Borders,90.36163439962426
2021Q3,Borders,90.36163439962426
2021Q4,Borders,88.8782450426286
2021Q4,Borders,88.8782450426286
2022Q1,Borders,90.79505890208422
2022Q1,Borders,90.79505890208422
2022Q2,Borders,94.95741385985288
2022Q2,Borders,94.95741385985288
2022Q3,Borders,95.48025261570363
2022Q3,Borders,95.48025261570363
2017Q3,Dumfries and Galloway,63.83233532934132
2017Q3,Dumfries and Galloway,78.65012794995735
2017Q3,Dumfries and Galloway,78.84220141584835
2017Q4,Dumfries and Galloway,62.1448212648946
2017Q4,Dumfries and Galloway,77.96735159052056
2017Q4,Dumfries and Galloway,78.96301188903567
2018Q1,Dumfries and Galloway,54.71236230110159
2018Q1,Dumfries and Galloway,92.1926470031426
2018Q1,Dumfries and Galloway,91.12338403628398
2018Q2,Dumfries and Galloway,54.79028697571744
2018Q2,Dumfries and Galloway,91.57869577341354
2018Q2,Dumfries and Galloway,89.80434166167805
2018Q3,Dumfries and Galloway,57.19237435008666
2018Q3,Dumfries and Galloway,90.28159739706396
2018Q3,Dumfries and Galloway,88.71259916297083
2018Q4,Dumfries and Galloway,59.62314939434725
2018Q4,Dumfries and Galloway,90.38263894379004
2018Q4,Dumfries and Galloway,89.24505879409556
2019Q1,Dumfries and Galloway,62.93508936970837
2019Q1,Dumfries and Galloway,90.23827824750192
2019Q1,Dumfries and Galloway,89.72705591378853
2019Q2,Dumfries and Galloway,54.95537811178958
2019Q2,Dumfries and Galloway,90.7881269191402
2019Q2,Dumfries and Galloway,89.64798449839994
2019Q3,Dumfries and Galloway,51.81895093062606
2019Q3,Dumfries and Galloway,90.49436635225896
2019Q3,Dumfries and Galloway,88.92654706947934
2019Q4,Dumfries and Galloway,59.03242408646423
