Quarter,HB,LengthOfStay,Episodes
2017Q3,The Golden Jubilee National Hospital,16,10
2017Q4,The Golden Jubilee National Hospital,9,5
2018Q1,The Golden Jubilee National Hospital,0,0
2018Q2,The Golden Jubilee National Hospital,0,0
2018Q3,The Golden Jubilee National Hospital,23,10
2018Q4,The Golden Jubilee National Hospital,5,5
2019Q1,The Golden Jubilee National Hospital,8,5
2019Q2,The Golden Jubilee National Hospital,6,5
2019Q3,The Golden Jubilee National Hospital,15,5
2019Q4,The Golden Jubilee National Hospital,44,10
2020Q1,The Golden Jubilee National Hospital,5,5
2020Q2,The Golden Jubilee National Hospital,14,5
2020Q3,The Golden Jubilee National Hospital,0,5
2020Q4,The Golden Jubilee National Hospital,17,5
2021Q1,The Golden Jubilee National Hospital,21,5
2021Q2,The Golden Jubilee National Hospital,15,5
2021Q3,The Golden Jubilee National Hospital,5,5
2022Q1,The Golden Jubilee National Hospital,5,0
2022Q3,The Golden Jubilee National Hospital,16,5
2017Q3,The Golden Jubilee National Hospital,132,18
2017Q4,The Golden Jubilee National Hospital,35,17
2018Q1,The Golden Jubilee National Hospital,55,21
2018Q2,The Golden Jubilee National Hospital,42,17
2018Q3,The Golden Jubilee National Hospital,67,25
2018Q4,The Golden Jubilee National Hospital,49,23
2019Q1,The Golden Jubilee National Hospital,103,26
2019Q2,The Golden Jubilee National Hospital,72,20
2019Q3,The Golden Jubilee National Hospital,335,20
2019Q4,The Golden Jubilee National Hospital,50,10
2020Q1,The Golden Jubilee National Hospital,46,15
2020Q2,The Golden Jubilee National Hospital,44,10
2020Q3,The Golden Jubilee National Hospital,95,20
2020Q4,The Golden Jubilee National Hospital,103,15
2021Q1,The Golden Jubilee National Hospital,72,15
2021Q2,The Golden Jubilee National Hospital,39,15
2021Q3,The Golden Jubilee National Hospital,59,15
2021Q4,The Golden Jubilee National Hospital,86,22
2022Q1,The Golden Jubilee National Hospital,40,12
2022Q2,The Golden Jubilee National Hospital,100,15
2022Q3,The Golden Jubilee National Hospital,66,14
2017Q3,The Golden Jubilee National Hospital,99,30
2017Q4,The Golden Jubilee National Hospital,131,20
2018Q1,The Golden Jubilee National Hospital,64,30
2018Q2,The Golden Jubilee National Hospital,62,28
2018Q3,The Golden Jubilee National Hospital,37,23
2018Q4,The Golden Jubilee National Hospital,73,34
2019Q1,The Golden Jubilee National Hospital,42,30
2019Q2,The Golden Jubilee National Hospital,88,39
2019Q3,The Golden Jubilee National Hospital,41,21
2019Q4,The Golden Jubilee National Hospital,60,15
2020Q1,The Golden Jubilee National Hospital,56,18
2020Q2,The Golden Jubilee National Hospital,47,12
2020Q3,The Golden Jubilee National Hospital,58,15
2020Q4,The Golden Jubilee National Hospital,128,31
2021Q1,The Golden Jubilee National Hospital,81,29
2021Q2,The Golden Jubilee National Hospital,108,19
2021Q3,The Golden Jubilee National Hospital,67,15
2021Q4,The Golden Jubilee National Hospital,80,24
2022Q1,The Golden Jubilee National Hospital,64,24
2022Q2,The Golden Jubilee National Hospital,74,25
2022Q3,The Golden Jubilee National Hospital,82,20
2017Q3,The Golden Jubilee National Hospital,129,55
2017Q4,The Golden Jubilee National Hospital,114,52
2018Q1,The Golden Jubilee National Hospital,157,60
2018Q2,The Golden Jubilee National Hospital,211,54
2018Q3,The Golden Jubilee National Hospital,166,64
2018Q4,The Golden Jubilee National Hospital,182,72
2019Q1,The Golden Jubilee National Hospital,164,51
2019Q2,The Golden Jubilee National Hospital,211,59
2019Q3,The Golden Jubilee National Hospital,174,50
2019Q4,The Golden Jubilee National Hospital,294,30
2020Q1,The Golden Jubilee National Hospital,124,37
2020Q2,The Golden Jubilee National Hospital,61,20
2020Q3,The Golden Jubilee National Hospital,227,47
2020Q4,The Golden Jubilee National Hospital,137,39
2021Q1,The Golden Jubilee National Hospital,192,55
2021Q2,The Golden Jubilee National Hospital,165,55
2021Q3,The Golden Jubilee National Hospital,203,50
2021Q4,The Golden Jubilee National Hospital,202,54
2022Q1,The Golden Jubilee National Hospital,203,48
2022Q2,The Golden Jubilee National Hospital,149,40
2022Q3,The Golden Jubilee National Hospital,147,51
2017Q3,The Golden Jubilee National Hospital,654,156
2017Q4,The Golden Jubilee National Hospital,555,173
2018Q1,The Golden Jubilee National Hospital,812,165
2018Q2,The Golden Jubilee National Hospital,576,147
2018Q3,The Golden Jubilee National Hospital,680,188
2018Q4,The Golden Jubilee National Hospital,581,210
