quarter,hb,simd,episodes,length_of_stay
2017Q3,Ayrshire and Arran,1,453,1783
2017Q4,Ayrshire and Arran,1,477,1949
2018Q1,Ayrshire and Arran,1,418,1320
2018Q2,Ayrshire and Arran,1,462,1676
2018Q3,Ayrshire and Arran,1,398,1425
2018Q4,Ayrshire and Arran,1,430,1411
2019Q1,Ayrshire and Arran,1,425,1365
2019Q2,Ayrshire and Arran,1,432,1368
2019Q3,Ayrshire and Arran,1,379,1468
2019Q4,Ayrshire and Arran,1,359,1368
2020Q1,Ayrshire and Arran,1,321,1164
2020Q2,Ayrshire and Arran,1,87,469
2020Q3,Ayrshire and Arran,1,212,893
2020Q4,Ayrshire and Arran,1,199,748
2021Q1,Ayrshire and Arran,1,96,600
2021Q2,Ayrshire and Arran,1,211,794
2021Q3,Ayrshire and Arran,1,152,831
2021Q4,Ayrshire and Arran,1,222,931
2022Q1,Ayrshire and Arran,1,180,841
2022Q2,Ayrshire and Arran,1,224,899
2022Q3,Ayrshire and Arran,1,288,1272
2017Q3,Ayrshire and Arran,2,380,1401
2017Q4,Ayrshire and Arran,2,342,1465
2018Q1,Ayrshire and Arran,2,303,1087
2018Q2,Ayrshire and Arran,2,349,1411
2018Q3,Ayrshire and Arran,2,347,1127
2018Q4,Ayrshire and Arran,2,337,1772
2019Q1,Ayrshire and Arran,2,402,1258
2019Q2,Ayrshire and Arran,2,354,1188
2019Q3,Ayrshire and Arran,2,339,1086
2019Q4,Ayrshire and Arran,2,326,1169
2020Q1,Ayrshire and Arran,2,267,1195
2020Q2,Ayrshire and Arran,2,70,281
2020Q3,Ayrshire and Arran,2,188,949
2020Q4,Ayrshire and Arran,2,173,653
2021Q1,Ayrshire and Arran,2,83,486
2021Q2,Ayrshire and Arran,2,188,746
2021Q3,Ayrshire and Arran,2,132,633
2021Q4,Ayrshire and Arran,2,165,743
2022Q1,Ayrshire and Arran,2,130,644
2022Q2,Ayrshire and Arran,2,192,914
2022Q3,Ayrshire and Arran,2,213,726
2017Q3,Ayrshire and Arran,3,270,850
2017Q4,Ayrshire and Arran,3,261,906
2018Q1,Ayrshire and Arran,3,242,1105
2018Q2,Ayrshire and Arran,3,238,651
2018Q3,Ayrshire and Arran,3,247,865
2018Q4,Ayrshire and Arran,3,302,956
2019Q1,Ayrshire and Arran,3,290,706
2019Q2,Ayrshire and Arran,3,297,1067
2019Q3,Ayrshire and Arran,3,259,863
2019Q4,Ayrshire and Arran,3,241,901
2020Q1,Ayrshire and Arran,3,247,1032
2020Q2,Ayrshire and Arran,3,68,185
2020Q3,Ayrshire and Arran,3,145,533
2020Q4,Ayrshire and Arran,3,117,552
2021Q1,Ayrshire and Arran,3,58,179
2021Q2,Ayrshire and Arran,3,156,523
2021Q3,Ayrshire and Arran,3,121,501
2021Q4,Ayrshire and Arran,3,123,525
2022Q1,Ayrshire and Arran,3,103,342
2022Q2,Ayrshire and Arran,3,144,516
2022Q3,Ayrshire and Arran,3,182,636
2017Q3,Ayrshire and Arran,4,256,996
2017Q4,Ayrshire and Arran,4,223,717
2018Q1,Ayrshire and Arran,4,182,607
2018Q2,Ayrshire and Arran,4,207,743
2018Q3,Ayrshire and Arran,4,210,825
2018Q4,Ayrshire and Arran,4,218,783
2019Q1,Ayrshire and Arran,4,247,657
2019Q2,Ayrshire and Arran,4,231,918
2019Q3,Ayrshire and Arran,4,231,805
2019Q4,Ayrshire and Arran,4,202,577
2020Q1,Ayrshire and Arran,4,191,620
2020Q2,Ayrshire and Arran,4,37,218
2020Q3,Ayrshire and Arran,4,84,260
2020Q4,Ayrshire and Arran,4,102,428
2021Q1,Ayrshire and Arran,4,46,158
2021Q2,Ayrshire and Arran,4,125,428
2021Q3,Ayrshire and Arran,4,96,473
2021Q4,Ayrshire and Arran,4,106,510
2022Q1,Ayrshire and Arran,4,92,375
2022Q2,Ayrshire and Arran,4,145,555
2022Q3,Ayrshire and Arran,4,140,502
2017Q3,Ayrshire and Arran,5,174,776
2017Q4,Ayrshire and Arran,5,159,690
2018Q1,Ayrshire and Arran,5,155,556
2018Q2,Ayrshire and Arran,5,149,787
2018Q3,Ayrshire and Arran,5,159,569
2018Q4,Ayrshire and Arran,5,164,1213
2019Q1,Ayrshire and Arran,5,205,684
2019Q2,Ayrshire and Arran,5,199,737
2019Q3,Ayrshire and Arran,5,142,452
2019Q4,Ayrshire and Arran,5,169,693
2020Q1,Ayrshire and Arran,5,151,495
2020Q2,Ayrshire and Arran,5,42,128
