quarter,hb,specialty_name_top,episodes,length_of_spell
2017Q3,The Golden Jubilee National Hospital,Cardiology,225,686
2017Q4,The Golden Jubilee National Hospital,Cardiology,238,418
2018Q1,The Golden Jubilee National Hospital,Cardiology,241,831
2018Q2,The Golden Jubilee National Hospital,Cardiology,244,535
2018Q3,The Golden Jubilee National Hospital,Cardiology,228,577
2018Q4,The Golden Jubilee National Hospital,Cardiology,244,569
2019Q1,The Golden Jubilee National Hospital,Cardiology,284,758
2019Q2,The Golden Jubilee National Hospital,Cardiology,277,518
2019Q3,The Golden Jubilee National Hospital,Cardiology,234,743
2019Q4,The Golden Jubilee National Hospital,Cardiology,212,804
2020Q1,The Golden Jubilee National Hospital,Cardiology,200,519
2020Q2,The Golden Jubilee National Hospital,Cardiology,128,398
2020Q3,The Golden Jubilee National Hospital,Cardiology,200,561
2020Q4,The Golden Jubilee National Hospital,Cardiology,233,811
2021Q1,The Golden Jubilee National Hospital,Cardiology,242,549
2021Q2,The Golden Jubilee National Hospital,Cardiology,221,542
2021Q3,The Golden Jubilee National Hospital,Cardiology,224,804
2021Q4,The Golden Jubilee National Hospital,Cardiology,238,786
2022Q1,The Golden Jubilee National Hospital,Cardiology,248,907
2022Q2,The Golden Jubilee National Hospital,Cardiology,252,910
2022Q3,The Golden Jubilee National Hospital,Cardiology,257,760
2021Q4,The Golden Jubilee National Hospital,Gastroenterology,0,0
2022Q2,The Golden Jubilee National Hospital,Gastroenterology,0,0
2017Q3,The Golden Jubilee National Hospital,Other,38,130
2017Q4,The Golden Jubilee National Hospital,Other,38,127
2018Q1,The Golden Jubilee National Hospital,Other,45,143
2018Q2,The Golden Jubilee National Hospital,Other,57,168
2018Q3,The Golden Jubilee National Hospital,Other,50,148
2018Q4,The Golden Jubilee National Hospital,Other,46,143
2019Q1,The Golden Jubilee National Hospital,Other,42,136
2019Q2,The Golden Jubilee National Hospital,Other,42,116
2019Q3,The Golden Jubilee National Hospital,Other,45,124
2019Q4,The Golden Jubilee National Hospital,Other,45,139
2020Q1,The Golden Jubilee National Hospital,Other,45,125
2020Q2,The Golden Jubilee National Hospital,Other,14,29
2020Q3,The Golden Jubilee National Hospital,Other,45,110
2020Q4,The Golden Jubilee National Hospital,Other,28,92
2021Q1,The Golden Jubilee National Hospital,Other,30,95
2021Q2,The Golden Jubilee National Hospital,Other,39,113
2021Q3,The Golden Jubilee National Hospital,Other,45,126
2021Q4,The Golden Jubilee National Hospital,Other,40,118
2022Q1,The Golden Jubilee National Hospital,Other,35,105
