quarter,specialty_name_top,mean
2017Q3,Cardiology,599.8779527559055
2017Q3,Cardiothoracic Surgery,732.3921568627451
2017Q3,Gastroenterology,499.39461883408075
2017Q3,General Medicine,2922.7815384615383
2017Q3,General Surgery,1413.1647398843932
2017Q3,Geriatric Medicine,910.5502008032129
2017Q3,Haematology,463.1775700934579
2017Q3,Other,241.5981912144703
2017Q3,Trauma and Orthopaedic Surgery,642.6955128205128
2017Q3,Urology,523.3225806451613
2017Q4,Cardiology,608.4268774703557
2017Q4,Cardiothoracic Surgery,717.5555555555555
2017Q4,Gastroenterology,501.2046511627907
2017Q4,General Medicine,3061.1296296296296
2017Q4,General Surgery,1407.859649122807
2017Q4,Geriatric Medicine,1006.464135021097
2017Q4,Haematology,456.86425339366514
2017Q4,Other,241.61479591836735
2017Q4,Trauma and Orthopaedic Surgery,689.3716216216217
2017Q4,Urology,506.69795918367345
2018Q1,Cardiology,559.8810408921933
2018Q1,Cardiothoracic Surgery,629.7017543859649
2018Q1,Gastroenterology,473.6830357142857
2018Q1,General Medicine,3097.457055214724
2018Q1,General Surgery,1374.157738095238
2018Q1,Geriatric Medicine,984.0489795918368
2018Q1,Haematology,446.89252336448595
2018Q1,Other,238.919779286927
2018Q1,Trauma and Orthopaedic Surgery,637.3209459459459
2018Q1,Urology,484.22709163346616
2018Q2,Cardiology,596.609022556391
2018Q2,Cardiothoracic Surgery,615.031746031746
2018Q2,Gastroenterology,531.0382775119617
2018Q2,General Medicine,2951.841614906832
2018Q2,General Surgery,1458.9970414201184
2018Q2,Geriatric Medicine,898.568
2018Q2,Haematology,455.27149321266967
2018Q2,Other,243.09323116219667
2018Q2,Trauma and Orthopaedic Surgery,712.8412162162163
2018Q2,Urology,499.8078431372549
2018Q3,Cardiology,581.4415094339622
2018Q3,Cardiothoracic Surgery,789.7647058823529
2018Q3,Gastroenterology,499.85915492957747
2018Q3,General Medicine,2861.3853211009173
2018Q3,General Surgery,1440.3323529411764
2018Q3,Geriatric Medicine,901.9330543933054
2018Q3,Haematology,443.48198198198196
2018Q3,Other,231.7208727871552
2018Q3,Trauma and Orthopaedic Surgery,686.7973421926911
2018Q3,Urology,547.9453781512605
2018Q4,Cardiology,577.9481481481481
2018Q4,Cardiothoracic Surgery,699.0566037735849
2018Q4,Gastroenterology,507.73972602739724
2018Q4,General Medicine,3016.042944785276
2018Q4,General Surgery,1451.5568513119533
2018Q4,Geriatric Medicine,947.0331950207469
2018Q4,Haematology,429.20444444444445
2018Q4,Other,237.81542928245543
2018Q4,Trauma and Orthopaedic Surgery,686.32
2018Q4,Urology,521.2538461538461
2019Q1,Cardiology,602.7587548638132
2019Q1,Cardiothoracic Surgery,744.0980392156863
2019Q1,Gastroenterology,507.90222222222224
2019Q1,General Medicine,3122.0433436532508
2019Q1,General Surgery,1483.7278106508875
2019Q1,Geriatric Medicine,947.5208333333334
2019Q1,Haematology,443.9342723004695
2019Q1,Other,243.08468919482686
2019Q1,Trauma and Orthopaedic Surgery,693.7898305084746
2019Q1,Urology,506.87169811320757
2019Q2,Cardiology,595.6742424242424
2019Q2,Cardiothoracic Surgery,728.574074074074
2019Q2,Gastroenterology,575.1346153846154
2019Q2,General Medicine,3213.7925696594425
2019Q2,General Surgery,1488.6588921282798
2019Q2,Geriatric Medicine,953.9628099173553
2019Q2,Haematology,452.8317307692308
2019Q2,Other,241.4510128152129
2019Q2,Trauma and Orthopaedic Surgery,697.1953642384105
2019Q2,Urology,520.9548872180451
2019Q3,Cardiology,618.9346153846154
2019Q3,Cardiothoracic Surgery,725.2830188679245
2019Q3,Gastroenterology,550.8744394618834
2019Q3,General Medicine,3232.076452599388
2019Q3,General Surgery,1535.9730538922156
2019Q3,Geriatric Medicine,950.3836734693878
2019Q3,Haematology,427.5882352941176
2019Q3,Other,234.74452554744525
2019Q3,Trauma and Orthopaedic Surgery,715.9435215946844
2019Q3,Urology,556.476
2019Q4,Cardiology,589.2754716981132
2019Q4,Cardiothoracic Surgery,661.4333333333333
2019Q4,Gastroenterology,570.9504504504505
2019Q4,General Medicine,3349.1223241590214
2019Q4,General Surgery,1464.141592920354
2019Q4,Geriatric Medicine,995.1847389558233
2019Q4,Haematology,462.4018691588785
2019Q4,Other,235.89682858289842
2019Q4,Trauma and Orthopaedic Surgery,720.0881355932204
2019Q4,Urology,533.2745098039215
2020Q1,Cardiology,582.6385542168674
2020Q1,Cardiothoracic Surgery,652.0909090909091
2020Q1,Gastroenterology,529.816513761468
2020Q1,General Medicine,3100.7701863354037
2020Q1,General Surgery,1314.2785923753665
2020Q1,Geriatric Medicine,1001.8571428571429
2020Q1,Haematology,464.2464454976303
2020Q1,Other,227.67041800643088
2020Q1,Trauma and Orthopaedic Surgery,640.7248322147651
2020Q1,Urology,497.9918699186992
2020Q2,Cardiology,417.1686746987952
2020Q2,Cardiothoracic Surgery,445.2830188679245
2020Q2,Gastroenterology,281.8232558139535
2020Q2,General Medicine,2579.1723076923076
2020Q2,General Surgery,813.0996784565916
2020Q2,Geriatric Medicine,854.9004329004329
2020Q2,Haematology,318.5809523809524
2020Q2,Other,164.6657004830918
2020Q2,Trauma and Orthopaedic Surgery,359.96911196911196
2020Q2,Urology,247.1125541125541
2020Q3,Cardiology,540.4606299212599
2020Q3,Cardiothoracic Surgery,595.8909090909091
2020Q3,Gastroenterology,387.01408450704224
2020Q3,General Medicine,3084.657142857143
2020Q3,General Surgery,1135.9704142011835
2020Q3,Geriatric Medicine,988.5021645021645
2020Q3,Haematology,385.80288461538464
2020Q3,Other,192.06018316615788
2020Q3,Trauma and Orthopaedic Surgery,524.7372013651877
2020Q3,Urology,406.99196787148594
2020Q4,Cardiology,504.5250965250965
2020Q4,Cardiothoracic Surgery,579.433962264151
2020Q4,Gastroenterology,447.42792792792795
2020Q4,General Medicine,2998.385093167702
2020Q4,General Surgery,1153.3727810650887
2020Q4,Geriatric Medicine,998.7106382978724
2020Q4,Haematology,418.24528301886795
2020Q4,Other,209.667107001321
2020Q4,Trauma and Orthopaedic Surgery,541.0314685314685
2020Q4,Urology,455.804780876494
2021Q1,Cardiology,544.0688259109312
2021Q1,Cardiothoracic Surgery,579.8269230769231
2021Q1,Gastroenterology,501.04672897196264
2021Q1,General Medicine,2970.4489164086685
2021Q1,General Surgery,1052.5
2021Q1,Geriatric Medicine,988.8491379310345
2021Q1,Haematology,440.7142857142857
2021Q1,Other,202.55555555555554
2021Q1,Trauma and Orthopaedic Surgery,485.8220640569395
2021Q1,Urology,390.09019607843135
2021Q2,Cardiology,571.088803088803
2021Q2,Cardiothoracic Surgery,612.3090909090909
2021Q2,Gastroenterology,507.4357798165138
2021Q2,General Medicine,3326.1189710610934
2021Q2,General Surgery,1304.7522658610271
2021Q2,Geriatric Medicine,1000.5619834710744
2021Q2,Haematology,464.6937799043062
2021Q2,Other,217.99527288354105
2021Q2,Trauma and Orthopaedic Surgery,621.1006944444445
2021Q2,Urology,500.44
2021Q3,Cardiology,589.0202429149798
2021Q3,Cardiothoracic Surgery,526.2203389830509
2021Q3,Gastroenterology,502.8038277511962
2021Q3,General Medicine,3146.5062111801244
2021Q3,General Surgery,1233.748538011696
2021Q3,Geriatric Medicine,1006.7723214285714
2021Q3,Haematology,445.2083333333333
2021Q3,Other,219.88774193548386
2021Q3,Trauma and Orthopaedic Surgery,583.8680555555555
2021Q3,Urology,429.58396946564886
