hb,month,season,number_of_attendances_aggregate,discharge_destination_admission_to_same,discharge_destination_residence
Ayrshire and Arran,201701,Winter,186,NA,NA
Ayrshire and Arran,201701,Winter,69,NA,NA
Ayrshire and Arran,201701,Winter,5488,2049,3107
Ayrshire and Arran,201701,Winter,3558,1565,1787
Ayrshire and Arran,201701,Winter,71,NA,NA
Borders,201701,Winter,8,NA,NA
Borders,201701,Winter,56,NA,NA
Borders,201701,Winter,5,NA,NA
Borders,201701,Winter,36,NA,NA
Borders,201701,Winter,2323,891,1237
Dumfries and Galloway,201701,Winter,17,NA,NA
Dumfries and Galloway,201701,Winter,32,NA,NA
Dumfries and Galloway,201701,Winter,5,NA,NA
Dumfries and Galloway,201701,Winter,4,0,3
Dumfries and Galloway,201701,Winter,937,77,760
Dumfries and Galloway,201701,Winter,3048,1223,1680
Fife,201701,Winter,4946,1327,3327
Fife,201701,Winter,100,0,0
Fife,201701,Winter,216,NA,NA
Fife,201701,Winter,1621,6,1464
Forth Valley,201701,Winter,1084,1,792
Forth Valley,201701,Winter,5097,1628,2631
Grampian,201701,Winter,4638,1405,2815
Grampian,201701,Winter,1182,128,977
Grampian,201701,Winter,81,NA,NA
Grampian,201701,Winter,12,NA,NA
Grampian,201701,Winter,23,NA,NA
Grampian,201701,Winter,1374,NA,NA
Grampian,201701,Winter,738,NA,NA
Grampian,201701,Winter,255,NA,NA
Grampian,201701,Winter,180,NA,NA
Grampian,201701,Winter,241,NA,NA
Grampian,201701,Winter,1799,402,1343
Grampian,201701,Winter,59,NA,NA
Grampian,201701,Winter,12,NA,NA
Grampian,201701,Winter,78,NA,NA
Grampian,201701,Winter,9,NA,NA
Grampian,201701,Winter,53,NA,NA
Grampian,201701,Winter,34,NA,NA
Greater Glasgow and Clyde,201701,Winter,1337,205,1032
Greater Glasgow and Clyde,201701,Winter,2529,706,1575
Greater Glasgow and Clyde,201701,Winter,5684,2018,3444
Greater Glasgow and Clyde,201701,Winter,7429,2240,4767
Greater Glasgow and Clyde,201701,Winter,1516,0,1383
Greater Glasgow and Clyde,201701,Winter,2524,0,2235
Greater Glasgow and Clyde,201701,Winter,7823,2468,4976
Greater Glasgow and Clyde,201701,Winter,4485,821,3658
Highland,201701,Winter,567,NA,NA
Highland,201701,Winter,102,NA,NA
Highland,201701,Winter,362,NA,NA
Highland,201701,Winter,611,194,403
Highland,201701,Winter,442,NA,NA
Highland,201701,Winter,171,NA,NA
Highland,201701,Winter,570,187,383
Highland,201701,Winter,51,NA,NA
Highland,201701,Winter,2625,792,1811
Highland,201701,Winter,478,NA,NA
Highland,201701,Winter,62,NA,NA
Highland,201701,Winter,615,143,468
Highland,201701,Winter,328,NA,NA
Highland,201701,Winter,80,NA,NA
Highland,201701,Winter,81,NA,NA
Highland,201701,Winter,99,NA,NA
Highland,201701,Winter,392,NA,NA
Highland,201701,Winter,126,NA,NA
Highland,201701,Winter,126,NA,NA
Lanarkshire,201701,Winter,5566,1892,3521
Lanarkshire,201701,Winter,65,NA,NA
Lanarkshire,201701,Winter,78,NA,NA
Lanarkshire,201701,Winter,5186,1650,3448
Lanarkshire,201701,Winter,5300,1431,3736
Lothian,201701,Winter,121,NA,NA
Lothian,201701,Winter,3763,1090,2655
Lothian,201701,Winter,4505,1021,3399
Lothian,201701,Winter,9688,2813,6729
Lothian,201701,Winter,3670,470,3023
Orkney,201701,Winter,431,119,309
Shetland,201701,Winter,557,144,405
Tayside,201701,Winter,3737,1255,2261
Tayside,201701,Winter,1866,392,1179
Tayside,201701,Winter,25,0,22
Tayside,201701,Winter,224,0,203
Tayside,201701,Winter,1090,0,985
Tayside,201701,Winter,170,0,163
Tayside,201701,Winter,96,0,88
Tayside,201701,Winter,468,0,433
Tayside,201701,Winter,132,0,126
Tayside,201701,Winter,383,0,355
Western Isles,201701,Winter,33,NA,NA
Western Isles,201701,Winter,457,110,333
Western Isles,201701,Winter,142,14,126
Ayrshire and Arran,201702,Winter,188,NA,NA
Ayrshire and Arran,201702,Winter,69,NA,NA
Ayrshire and Arran,201702,Winter,5104,1873,2936
Ayrshire and Arran,201702,Winter,3253,1364,1686
Ayrshire and Arran,201702,Winter,51,NA,NA
Borders,201702,Winter,13,NA,NA
Borders,201702,Winter,52,NA,NA
Borders,201702,Winter,5,NA,NA
Borders,201702,Winter,28,NA,NA
Borders,201702,Winter,2079,773,1151
Dumfries and Galloway,201702,Winter,11,NA,NA
Dumfries and Galloway,201702,Winter,24,NA,NA
Dumfries and Galloway,201702,Winter,3,NA,NA
Dumfries and Galloway,201702,Winter,6,0,6
Dumfries and Galloway,201702,Winter,869,75,692
Dumfries and Galloway,201702,Winter,2635,1084,1442
Fife,201702,Winter,4602,1218,3121
Fife,201702,Winter,116,0,0
Fife,201702,Winter,234,NA,NA
Fife,201702,Winter,1501,2,1384
Forth Valley,201702,Winter,1028,0,813
Forth Valley,201702,Winter,4793,1468,2664
Grampian,201702,Winter,4262,1175,2673
Grampian,201702,Winter,1161,129,975
Grampian,201702,Winter,63,NA,NA
Grampian,201702,Winter,8,NA,NA
Grampian,201702,Winter,34,NA,NA
Grampian,201702,Winter,1133,NA,NA
Grampian,201702,Winter,588,NA,NA
Grampian,201702,Winter,208,NA,NA
Grampian,201702,Winter,177,NA,NA
Grampian,201702,Winter,214,NA,NA
Grampian,201702,Winter,1651,349,1245
Grampian,201702,Winter,42,NA,NA
Grampian,201702,Winter,12,NA,NA
Grampian,201702,Winter,75,NA,NA
Grampian,201702,Winter,13,NA,NA
Grampian,201702,Winter,60,NA,NA
Grampian,201702,Winter,28,NA,NA
Greater Glasgow and Clyde,201702,Winter,1248,214,956
Greater Glasgow and Clyde,201702,Winter,2258,606,1453
Greater Glasgow and Clyde,201702,Winter,5090,1737,3131
Greater Glasgow and Clyde,201702,Winter,6953,2094,4369
Greater Glasgow and Clyde,201702,Winter,1446,0,1340
Greater Glasgow and Clyde,201702,Winter,2302,0,2051
Greater Glasgow and Clyde,201702,Winter,7391,2315,4719
Greater Glasgow and Clyde,201702,Winter,4324,785,3527
Highland,201702,Winter,497,NA,NA
Highland,201702,Winter,80,NA,NA
Highland,201702,Winter,306,NA,NA
Highland,201702,Winter,488,142,331
Highland,201702,Winter,313,NA,NA
Highland,201702,Winter,169,NA,NA
Highland,201702,Winter,501,153,346
Highland,201702,Winter,48,NA,NA
Highland,201702,Winter,2476,708,1748
